location,traffic_volume,weather_condition,day_of_week,event,average_speed,traffic_density,travel_advisable,,
MG Road,450,clear,Sunday,None,32.15,150,1,,
MG Road,500,clear,Sunday,None,29.9,166.67,1,,
Electronic City,1000,rainy,Sunday,None,21,200,0,,
Electronic City,1100,rainy,Sunday,None,18.5,220,0,,
Whitefield,350,clear,Sunday,Event,33.8,87.5,1,,
Whitefield,400,clear,Sunday,Event,31.4,100,1,,
MG Road,700,rainy,Monday,None,21.4,233.33,0,,
MG Road,800,rainy,Monday,None,18.5,266.67,0,,
Electronic City,900,clear,Monday,None,24,180,0,,
Electronic City,950,clear,Monday,None,21.5,190,0,,
Whitefield,450,clear,Monday,None,29.9,112.5,1,,
Whitefield,500,clear,Monday,None,27.5,125,1,,
